hos_cd	ins	fie_name	dep_cd	year	invr_intr
0810423	0	心療科	12	2023	1
0810423	0	心血外	15	2023	1
0810423	0	放診断	28	2023	4
0810423	0	皮膚科	21	2023	1
0810423	0	糖尿内	06	2023	9
0810423	0	脳神内	02	2023	1
0810431	0	呼吸内	05	2023	1
0810431	0	小児科	10	2023	3
0810431	0	救急科	34	2023	1
0810431	0	腎臓内	08	2023	2
0810456	0	耳鼻科	25	2023	8
0810456	0	脳神内	02	2023	1
0810464	0	リウ膠	48	2023	1
0810464	0	呼吸外	13	2023	1
0810464	0	循環内	07	2023	8
0810464	0	心血外	15	2023	1
0810464	0	救急科	34	2023	1
0810464	0	整形外	18	2023	1
0810464	0	糖尿内	06	2023	2
0810464	0	脳神内	02	2023	1
0810464	0	脳神外	20	2023	1
0810464	0	腎臓内	08	2023	1
0810472	0	小児科	10	2023	10
0810472	0	耳鼻科	25	2023	1
0810480	0	放診断	28	2023	1
0810480	0	消化内	50	2023	1
0810480	0	消化外	14	2023	2
0810480	0	糖尿内	06	2023	1
0810480	0	脳神内	02	2023	2
0810480	0	臨腫瘍	27	2023	1
0810498	0	リウ膠	48	2023	1
0810498	0	リハ	31	2023	1
0810498	0	呼吸内	05	2023	1
0810498	0	呼吸外	13	2023	3
0810498	0	形成外	19	2023	1
0810498	0	循環内	07	2023	6
0810498	0	心血外	15	2023	1
0810498	0	放診断	28	2023	2
0810498	0	救急科	34	2023	2
0810498	0	消化内	50	2023	2
0810498	0	消化外	14	2023	2
0810498	0	産婦人	43	2023	1
0810498	0	脳神内	02	2023	3
0810498	0	脳神外	20	2023	2
0810506	0	呼吸内	05	2023	1
0810506	0	救急科	34	2023	1
0810506	0	皮膚科	21	2023	1
0810506	0	耳鼻科	25	2023	7
0810514	0	呼吸内	05	2023	4
0810514	0	呼吸外	13	2023	4
0810514	0	放診断	28	2023	7
0810514	0	泌尿器	22	2023	8
0810514	0	耳鼻科	25	2023	2
0810514	0	腎臓内	08	2023	2
0810522	0	循環内	07	2023	1
0810522	0	心血外	15	2023	2
0810522	0	整形外	18	2023	1
0810522	0	腎臓内	08	2023	11
0900162	0	歯口外	32	2023	1
0900246	0	歯口外	32	2023	1
0910013	0	リウ膠	48	2023	1
0910013	0	歯口外	32	2023	9
0910021	0	歯口外	32	2023	1
0910074	0	リウ膠	48	2023	7
0910074	0	リハ	31	2023	2
0910074	0	乳甲外	16	2023	7
0910074	0	呼吸内	05	2023	1
0910074	0	呼吸外	13	2023	4
0910074	0	形成外	19	2023	1
0910074	0	循環内	07	2023	23
0910074	0	心血外	15	2023	33
0910074	0	放核医	30	2023	1
0910074	0	救急科	34	2023	7
0910074	0	整形外	18	2023	7
0910074	0	泌尿器	22	2023	2
0910074	0	消化内	50	2023	47
0910074	0	皮膚科	21	2023	2
0910074	0	眼科	26	2023	2
0910074	0	糖尿内	06	2023	7
0910074	0	耳鼻科	25	2023	12
0910074	0	脳卒中	09	2023	4
0910074	0	脳神内	02	2023	6
0910074	0	脳神外	20	2023	1
0910074	0	腎臓内	08	2023	49
0910074	0	血液内	01	2023	1
0910074	0	麻酔科	37	2023	1
0910082	0	循環内	07	2023	1
0910082	0	心療科	12	2023	4
0910082	0	救急科	34	2023	1
0910082	0	消化内	50	2023	1
0910082	0	糖尿内	06	2023	1
0910082	0	脳神内	02	2023	2
0910173	0	糖尿内	06	2023	1
0910173	0	腎臓内	08	2023	1
0910199	0	リハ	31	2023	1
0910199	0	乳甲外	16	2023	1
0910199	0	呼吸内	05	2023	1
0910199	0	形成外	19	2023	2
0910199	0	循環内	07	2023	6
0910199	0	心血外	15	2023	5
0910199	0	放診断	28	2023	1
0910199	0	救急科	34	2023	3
0910199	0	整形外	18	2023	5
0910199	0	歯口外	32	2023	1
0910199	0	泌尿器	22	2023	8
0910199	0	消化内	50	2023	3
0910199	0	消化外	14	2023	4
0910199	0	糖尿内	06	2023	3
0910199	0	総合診	36	2023	2
0910199	0	耳鼻科	25	2023	1
0910199	0	脳卒中	09	2023	1
0910199	0	脳神内	02	2023	3
0910199	0	腎臓内	08	2023	6
0910199	0	臨腫瘍	27	2023	1
0910207	0	乳甲外	16	2023	1
0910207	0	循環内	07	2023	3
0910207	0	心血外	15	2023	1
0910207	0	消化内	50	2023	4
0910207	0	耳鼻科	25	2023	1
0910207	0	脳神内	02	2023	1
0910207	0	腎臓内	08	2023	1
0910214	0	リウ膠	48	2023	1
0910214	0	産婦人	43	2023	1
0910214	0	総合診	36	2023	1
0910215	0	呼吸内	05	2023	1
0910215	0	循環内	07	2023	3
0910215	0	心療科	12	2023	1
0910215	0	心血外	15	2023	4
0910215	0	救急科	34	2023	1
0910215	0	整形外	18	2023	1
0910215	0	泌尿器	22	2023	1
0910215	0	消化内	50	2023	2
0910215	0	産婦人	43	2023	1
0910215	0	糖尿内	06	2023	1
0910215	0	脳神内	02	2023	3
0910215	0	腎臓内	08	2023	1
0910249	0	呼吸外	13	2023	1
0910249	0	心血外	15	2023	1
0910249	0	救急科	34	2023	1
0910249	0	整形外	18	2023	1
0910249	0	脳神内	02	2023	1
0910256	0	呼吸外	13	2023	5
0910280	0	乳甲外	16	2023	4
0910280	0	産婦人	43	2023	1
0910280	0	総合診	36	2023	1
0910297	0	心血外	15	2023	1
0910297	0	腎臓内	08	2023	3
0910306	0	形成外	19	2023	1
0910306	0	心血外	15	2023	1
0910306	0	眼科	26	2023	50
0910306	0	糖尿内	06	2023	1
0910560	0	脳神内	02	2023	1
0910941	0	腎臓内	08	2023	4
0911063	0	放核医	30	2023	2
0911063	0	産婦人	43	2023	1
0911063	0	糖尿内	06	2023	1
0911063	0	脳神内	02	2023	1
0911170	0	眼科	26	2023	9
0911196	0	産婦人	43	2023	1
0911345	0	循環内	07	2023	3
0911584	0	リウ膠	48	2023	1
0911634	0	救急科	34	2023	1
0911634	0	眼科	26	2023	1
0911634	0	脳神内	02	2023	2
0911691	0	耳鼻科	25	2023	1
0911717	0	眼科	26	2023	1
0911725	0	心療科	12	2023	1
0911733	0	心血外	15	2023	3
0911733	0	糖尿内	06	2023	1
0911741	0	形成外	19	2023	2
1000368	0	歯口外	32	2023	3
1000418	0	歯口外	32	2023	2
1000628	0	救急科	34	2023	2
1000651	0	呼吸内	05	2023	1
1000651	0	小児科	10	2023	1
1000651	0	救急科	34	2023	1
1000651	0	歯口外	32	2023	1
1000651	0	耳鼻科	25	2023	15
1010064	0	リウ膠	48	2023	3
1010064	0	リハ	31	2023	1
1010064	0	呼吸内	05	2023	6
1010064	0	呼吸外	13	2023	1
1010064	0	小児科	10	2023	2
1010064	0	循環内	07	2023	7
1010064	0	心血外	15	2023	2
1010064	0	放診断	28	2023	1
1010064	0	救急科	34	2023	3
1010064	0	泌尿器	22	2023	11
1010064	0	消化内	50	2023	6
1010064	0	消化外	14	2023	2
1010064	0	眼科	26	2023	5
1010064	0	糖尿内	06	2023	1
1010064	0	耳鼻科	25	2023	1
1010064	0	脳神内	02	2023	2
1010064	0	脳神外	20	2023	3
1010064	0	腎臓内	08	2023	2
1010171	0	リウ膠	48	2023	1
1010171	0	乳甲外	16	2023	1
1010171	0	呼吸内	05	2023	1
1010171	0	循環内	07	2023	8
1010171	0	心血外	15	2023	4
1010171	0	放診断	28	2023	1
1010171	0	総合診	36	2023	2
1010171	0	脳神内	02	2023	1
1010171	0	腎臓内	08	2023	4
1010171	0	血液内	01	2023	1
1010239	0	リウ膠	48	2023	1
1010239	0	呼吸内	05	2023	1
1010239	0	循環内	07	2023	6
1010239	0	心血外	15	2023	2
1010239	0	放核医	30	2023	1
1010239	0	整形外	18	2023	1
1010239	0	総合診	36	2023	1
1010239	0	脳卒中	09	2023	1
1010239	0	脳神内	02	2023	1
1010239	0	腎臓内	08	2023	5
1010247	0	形成外	19	2023	1
1010247	0	眼科	26	2023	22
1010254	0	リハ	31	2023	1
1010254	0	循環内	07	2023	2
1010254	0	心血外	15	2023	2
1010254	0	救急科	34	2023	2
1010254	0	整形外	18	2023	16
1010254	0	消化内	50	2023	1
1010254	0	皮膚科	21	2023	7
1010254	0	脳神内	02	2023	5
1010254	0	脳神外	20	2023	5
1010254	0	腎臓内	08	2023	5
1010254	0	麻酔科	37	2023	1
1010262	0	リウ膠	48	2023	1
1010262	0	心療科	12	2023	4
1010262	0	脳神内	02	2023	1
1010270	0	呼吸内	05	2023	1
1010270	0	循環内	07	2023	2
1010270	0	救急科	34	2023	1
1010270	0	泌尿器	22	2023	1
1010270	0	消化内	50	2023	1
1010270	0	消化外	14	2023	1
1010270	0	糖尿内	06	2023	2
1010270	0	耳鼻科	25	2023	2
1010270	0	脳卒中	09	2023	1
1010270	0	腎臓内	08	2023	3
1010288	0	リウ膠	48	2023	2
1010288	0	リハ	31	2023	2
1010288	0	乳甲外	16	2023	12
1010288	0	呼吸内	05	2023	4
1010288	0	呼吸外	13	2023	3
1010288	0	小児科	10	2023	1
1010288	0	形成外	19	2023	1
1010288	0	循環内	07	2023	18
1010288	0	心血外	15	2023	5
1010288	0	放核医	30	2023	1
1010288	0	救急科	34	2023	4
1010288	0	整形外	18	2023	13
1010288	0	消化内	50	2023	17
1010288	0	消化外	14	2023	3
1010288	0	皮膚科	21	2023	1
1010288	0	糖尿内	06	2023	4
1010288	0	総合診	36	2023	2
1010288	0	脳卒中	09	2023	1
1010288	0	脳神内	02	2023	5
1010288	0	脳神外	20	2023	3
1010288	0	腎臓内	08	2023	9
1010288	0	血液内	01	2023	2
1010296	0	心血外	15	2023	1
1010296	0	消化内	50	2023	1
1010296	0	耳鼻科	25	2023	1
1010296	0	腎臓内	08	2023	11
1100493	0	眼科	26	2023	1
1110047	0	歯口外	32	2023	1
1110062	0	小児科	10	2023	2
1110079	0	整形外	18	2023	1
1110079	0	産婦人	43	2023	8
1110088	0	リウ膠	48	2023	1
1110088	0	乳甲外	16	2023	1
1110088	0	糖尿内	06	2023	1
1110104	0	循環内	07	2023	1
1110111	0	リウ膠	48	2023	8
1110111	0	形成外	19	2023	5
1110111	0	循環内	07	2023	1
1110111	0	心血外	15	2023	1
1110111	0	泌尿器	22	2023	2
1110111	0	消化内	50	2023	2
1110111	0	消化外	14	2023	1
1110111	0	皮膚科	21	2023	3
1110111	0	糖尿内	06	2023	1
1110111	0	脳神内	02	2023	3
1110111	0	腎臓内	08	2023	2
1110146	0	リウ膠	48	2023	2
1110335	0	糖尿内	06	2023	1
1110335	0	腎臓内	08	2023	2
1110574	0	循環内	07	2023	3
1110855	0	乳甲外	16	2023	1
1110855	0	整形外	18	2023	1
1110855	0	消化内	50	2023	1
1110855	0	消化外	14	2023	1
1110855	0	産婦人	43	2023	1
1110855	0	糖尿内	06	2023	3
1110889	0	小児科	10	2023	1
1111069	0	皮膚科	21	2023	1
1111275	0	整形外	18	2023	1
1111333	0	糖尿内	06	2023	1
1111374	0	脳神内	02	2023	1
1111390	0	腎臓内	08	2023	2
1111390	0	血液内	01	2023	1
1111424	0	呼吸内	05	2023	1
1111424	0	腎臓内	08	2023	1
1111465	0	整形外	18	2023	1
1111465	0	消化内	50	2023	1
1111473	0	皮膚科	21	2023	1
1111614	0	リウ膠	48	2023	1
1111622	0	眼科	26	2023	1
1111622	0	腎臓内	08	2023	1
1111721	0	乳甲外	16	2023	1
1111721	0	脳神内	02	2023	1
1111812	0	リウ膠	48	2023	1
1111812	0	消化内	50	2023	1
1111838	0	乳甲外	16	2023	1
1111895	0	リハ	31	2023	1
1111895	0	呼吸内	05	2023	1
1111895	0	形成外	19	2023	1
1111895	0	循環内	07	2023	1
1111895	0	整形外	18	2023	1
1111895	0	糖尿内	06	2023	1
1111911	0	整形外	18	2023	1
1111945	0	脳神内	02	2023	1
1111945	0	血液内	01	2023	2
1111978	0	血液内	01	2023	1
1111994	0	整形外	18	2023	1
1111994	0	消化内	50	2023	1
1112000	0	血液内	01	2023	2
1112067	0	リウ膠	48	2023	2
1112067	0	乳甲外	16	2023	1
1112067	0	呼吸外	13	2023	1
1112067	0	循環内	07	2023	2
1112067	0	心血外	15	2023	8
1112067	0	放核医	30	2023	2
1112067	0	救急科	34	2023	1
1112067	0	消化内	50	2023	1
1112067	0	消化外	14	2023	1
1112067	0	産婦人	43	2023	1
1112067	0	皮膚科	21	2023	11
1112067	0	眼科	26	2023	3
1112067	0	糖尿内	06	2023	1
1112067	0	耳鼻科	25	2023	3
1112067	0	腎臓内	08	2023	3
1112117	0	眼科	26	2023	2
1112190	0	腎臓内	08	2023	6
1112208	0	心療科	12	2023	1
1112224	0	循環内	07	2023	1
1112240	0	整形外	18	2023	1
1112281	0	心血外	15	2023	3
1112299	0	眼科	26	2023	3
1112307	0	泌尿器	22	2023	2
1112307	0	脳神外	20	2023	1
1130578	0	心血外	15	2023	1
1130800	0	歯口外	32	2023	1
1200034	0	歯口外	32	2023	1
1200038	0	眼科	26	2023	4
1210011	0	耳鼻科	25	2023	1
1210128	0	リウ膠	48	2023	1
1210128	0	呼吸外	13	2023	1
1210128	0	整形外	18	2023	10
1210128	0	消化内	50	2023	2
1210128	0	脳神内	02	2023	1
1300036	0	眼科	26	2023	1
1310018	0	リウ膠	48	2023	1
1310018	0	呼吸内	05	2023	1
1310068	0	循環内	07	2023	1
1310076	0	腎臓内	08	2023	1
1310182	0	整形外	18	2023	1
1310448	0	呼吸内	05	2023	1
1310448	0	皮膚科	21	2023	1
1310448	0	脳卒中	09	2023	1
1310448	0	脳神外	20	2023	1
1310448	0	血液内	01	2023	1
1310471	0	心血外	15	2023	1
1310471	0	脳神内	02	2023	1
1310513	0	血液内	01	2023	1
1400026	0	循環内	07	2023	1
1400026	0	耳鼻科	25	2023	7
1400026	0	腎臓内	08	2023	3
1400034	0	循環内	07	2023	4
1400034	0	心血外	15	2023	2
1400042	0	循環内	07	2023	1
1400059	0	皮膚科	21	2023	1
1410017	0	リウ膠	48	2023	1
1410017	0	眼科	26	2023	12
1410033	0	リウ膠	48	2023	2
1410033	0	リハ	31	2023	1
1410033	0	循環内	07	2023	1
1410033	0	心血外	15	2023	1
1410066	0	リウ膠	48	2023	2
1410066	0	呼吸外	13	2023	3
1410066	0	小児科	10	2023	1
1410066	0	循環内	07	2023	3
1410066	0	心血外	15	2023	9
1410066	0	整形外	18	2023	5
1410066	0	泌尿器	22	2023	3
1410066	0	消化内	50	2023	7
1410066	0	消化外	14	2023	1
1410066	0	眼科	26	2023	2
1410066	0	耳鼻科	25	2023	2
1410066	0	脳神外	20	2023	1
1410066	0	腎臓内	08	2023	17
1410066	0	臨腫瘍	27	2023	1
1500015	0	呼吸内	05	2023	1
1510195	0	リハ	31	2023	1
1510195	0	心血外	15	2023	1
1510195	0	脳神内	02	2023	1
1510278	0	総合診	36	2023	1
1510310	0	産婦人	43	2023	1
1510583	0	皮膚科	21	2023	2
1510583	0	糖尿内	06	2023	1
1510625	0	循環内	07	2023	1
1510625	0	心血外	15	2023	1
1510849	0	消化外	14	2023	1
1511219	0	乳甲外	16	2023	1
1511219	0	形成外	19	2023	1
1511219	0	循環内	07	2023	1
1511219	0	泌尿器	22	2023	1
1511219	0	消化外	14	2023	2
1511219	0	皮膚科	21	2023	1
1511219	0	総合診	36	2023	2
1511219	0	耳鼻科	25	2023	1
1511219	0	脳神内	02	2023	1
1511219	0	脳神外	20	2023	1
1511219	0	腎臓内	08	2023	1
1511219	0	血液内	01	2023	5
1511276	0	リウ膠	48	2023	23
1511276	0	乳甲外	16	2023	4
1511276	0	呼吸内	05	2023	1
1511276	0	呼吸外	13	2023	1
1511276	0	形成外	19	2023	4
1511276	0	放核医	30	2023	3
1511276	0	救急科	34	2023	1
1511276	0	泌尿器	22	2023	1
1511276	0	消化内	50	2023	1
1511276	0	消化外	14	2023	1
1511276	0	産婦人	43	2023	1
1511276	0	皮膚科	21	2023	4
1511276	0	眼科	26	2023	2
1511276	0	糖尿内	06	2023	3
1511276	0	総合診	36	2023	1
1511276	0	耳鼻科	25	2023	2
1511276	0	脳神内	02	2023	10
1511276	0	脳神外	20	2023	2
1511276	0	腎臓内	08	2023	6
1511276	0	血液内	01	2023	5
1511375	0	耳鼻科	25	2023	1
1511398	0	リウ膠	48	2023	2
1511398	0	整形外	18	2023	1
1511433	0	耳鼻科	25	2023	1
1511581	0	整形外	18	2023	1
1511912	0	心療科	12	2023	1
1511920	0	心血外	15	2023	1
1511953	0	消化内	50	2023	1
1512100	0	腎臓内	08	2023	2
1512233	0	心血外	15	2023	1
1512233	0	糖尿内	06	2023	1
1512258	0	リウ膠	48	2023	7
1512258	0	リハ	31	2023	1
1512258	0	乳甲外	16	2023	2
1512258	0	小児科	10	2023	1
1512258	0	循環内	07	2023	1
1512258	0	心血外	15	2023	4
1512258	0	整形外	18	2023	3
1512258	0	消化内	50	2023	3
1512258	0	消化外	14	2023	1
1512258	0	皮膚科	21	2023	4
1512258	0	脳神内	02	2023	4
1512258	0	腎臓内	08	2023	2
1512258	0	麻酔科	37	2023	1
1512266	0	耳鼻科	25	2023	1
1512365	0	リウ膠	48	2023	2
1512407	0	心療科	12	2023	2
1512498	0	消化外	14	2023	1
1512498	0	耳鼻科	25	2023	1
1512506	0	整形外	18	2023	1
1512506	0	眼科	26	2023	1
1512605	0	皮膚科	21	2023	1
1512654	0	泌尿器	22	2023	2
1512654	0	眼科	26	2023	3
1512654	0	糖尿内	06	2023	2
1512654	0	脳神内	02	2023	1
1512811	0	眼科	26	2023	3
1512811	0	耳鼻科	25	2023	1
1512829	0	リハ	31	2023	1
1512829	0	乳甲外	16	2023	3
1512829	0	呼吸外	13	2023	1
1512829	0	形成外	19	2023	1
1512829	0	心血外	15	2023	1
1512829	0	放診断	28	2023	2
1512829	0	整形外	18	2023	1
1512829	0	糖尿内	06	2023	1
1512829	0	脳神内	02	2023	5
1512829	0	脳神外	20	2023	12
1512829	0	腎臓内	08	2023	1
1512894	0	リハ	31	2023	1
1512894	0	眼科	26	2023	1
1512977	0	形成外	19	2023	2
1512977	0	整形外	18	2023	5
1512977	0	消化内	50	2023	1
1512977	0	消化外	14	2023	1
1513017	0	循環内	07	2023	1
1513017	0	消化内	50	2023	1
1513017	0	皮膚科	21	2023	1
1513017	0	脳卒中	09	2023	1
1513017	0	脳神内	02	2023	1
1513017	0	脳神外	20	2023	1
1513223	0	心療科	12	2023	1
1513280	0	形成外	19	2023	1
1513280	0	心血外	15	2023	1
1513280	0	整形外	18	2023	1
1513363	0	糖尿内	06	2023	1
1513439	0	消化内	50	2023	1
1513504	0	心療科	12	2023	1
