hos_cd	ins	year	dep_cd	fie_name	intr
0103825	0	2015		歯口外	1
0104047	0	2019		歯口外	1
0104443	0	2013		歯口外	6
0104443	0	2014		歯口外	4
0104443	0	2015		歯口外	1
0104443	0	2016		歯口外	5
0104443	0	2017		歯口外	3
0104443	0	2018		歯口外	4
0104443	0	2019		歯口外	6
0104443	0	2020		歯口外	1
0104443	0	2021		歯口外	3
0104443	0	2022		歯口外	2
0104443	0	2023	32	歯口外	4
0104666	0	2020		歯口外	1
0104682	0	2013		歯口外	1
0104682	0	2014		歯口外	1
0104682	0	2018		歯口外	1
0104682	0	2015		総合診	1
0104948	0	2023	32	歯口外	1
0105093	0	2013		循環内	1
0105093	0	2019		循環内	1
0105093	0	2014		歯口外	2
0105093	0	2016		歯口外	1
0105093	0	2017		歯口外	2
0105093	0	2019		歯口外	1
0105093	0	2020		歯口外	1
0105093	0	2021		歯口外	3
0105135	0	2021		産婦人	1
0105291	0	2017		歯口外	1
0105408	0	2021		歯口外	1
0105408	0	2013		皮膚科	1
0105515	0	2020		歯口外	1
0105667	0	2018		形成外	1
0105667	0	2016		泌尿器	1
0105667	0	2017		消化外	1
0105667	0	2019		消化外	1
0105667	0	2021		消化外	2
0105667	0	2023	14	消化外	1
0105667	0	2016		皮膚科	1
0105667	0	2023	21	皮膚科	1
0105667	0	2016		胃腸内	1
0105667	0	2017		胃腸内	1
0105667	0	2018		胃腸内	1
0105667	0	2019		胃腸内	1
0105667	0	2020		胃腸内	1
0105667	0	2021		胃腸内	1
0105683	0	2015		総合診	1
0105895	0	2022		歯口外	1
0105937	0	2019		歯口外	1
0105937	0	2020		歯口外	2
0105937	0	2021		歯口外	2
0105937	0	2022		歯口外	4
0106026	0	2014		歯口外	1
0106059	0	2021		歯口外	3
0106059	0	2022		歯口外	5
0106059	0	2023	32	歯口外	5
0106067	0	2015		歯口外	1
0106067	0	2016		歯口外	1
0106067	0	2016		耳鼻科	1
0106067	0	2023	01	血液内	1
0106166	0	2014		歯口外	1
0106166	0	2016		歯口外	1
0106281	0	2018		歯口外	1
0106281	0	2019		歯口外	2
0106349	0	2013		脳卒中	1
0106356	0	2013		歯口外	1
0106356	0	2020		歯口外	2
0106414	0	2015		歯口外	1
0106414	0	2018		歯口外	1
0106414	0	2021		歯口外	2
0106414	0	2022		歯口外	1
0106414	0	2023	32	歯口外	1
0106414	0	2020		皮膚科	1
0106414	0	2018		腎臓内	1
0106455	0	2015		歯口外	1
0106539	0	2013		歯口外	1
0106558	0	2017		乳甲外	1
0106558	0	2018		乳甲外	2
0106558	0	2019		乳甲外	1
0106558	0	2021		乳甲外	4
0106558	0	2023	16	乳甲外	3
0106558	0	2020		整形外	1
0106588	0	2021		歯口外	1
0106620	0	2019		歯口外	1
0106679	0	2021		歯口外	1
0106786	0	2020		歯口外	1
0106968	0	2021		歯口外	1
0106968	0	2023	32	歯口外	1
0106976	0	2013		歯口外	1
0106976	0	2018		歯口外	2
0106976	0	2020		歯口外	1
0106976	0	2022		歯口外	2
0107024	0	2020		循環内	1
0107024	0	2013		歯口外	1
0107024	0	2022		歯口外	4
0107057	0	2018		整形外	1
0107085	0	2015		整形外	1
0107085	0	2016		整形外	3
0107085	0	2017		整形外	1
0107085	0	2023	18	整形外	2
0107135	0	2020		救急科	1
0107135	0	2013		整形外	3
0107135	0	2016		整形外	1
0107135	0	2017		整形外	1
0107135	0	2018		整形外	3
0107135	0	2021		整形外	1
0107135	0	2022		整形外	1
0107135	0	2023	18	整形外	1
0107135	0	2018		脳神外	1
0107149	0	2021		リウ膠	1
0107149	0	2022		リウ膠	1
0107149	0	2021		歯口外	1
0107305	0	2013		歯口外	2
0107305	0	2014		歯口外	5
0107305	0	2015		歯口外	7
0107305	0	2016		歯口外	6
0107305	0	2017		歯口外	6
0107305	0	2018		歯口外	11
0107305	0	2019		歯口外	3
0107305	0	2020		歯口外	11
0107305	0	2021		歯口外	6
0107305	0	2022		歯口外	4
0107305	0	2023	32	歯口外	5
0107347	0	2019		歯口外	6
0107347	0	2019		総合診	1
0107424	0	2017		小児外	2
0107424	0	2016		循環内	1
0107424	0	2015		心血外	1
0107424	0	2020		救急科	1
0107424	0	2018		臨腫瘍	1
0107549	0	2015		心療科	1
0107549	0	2021		整形外	1
0107549	0	2020		総合診	1
0107564	0	2016		小児科	1
0107564	0	2015		形成外	1
0107564	0	2016		救急科	1
0107564	0	2013		眼科	25
0107564	0	2014		眼科	32
0107564	0	2015		眼科	36
0107564	0	2016		眼科	22
0107564	0	2017		眼科	20
0107564	0	2018		眼科	34
0107564	0	2019		眼科	36
0107564	0	2020		眼科	19
0107564	0	2021		眼科	30
0107564	0	2022		眼科	14
0107564	0	2023	26	眼科	13
0107564	0	2016		神経内	1
0107564	0	2019		神経内	1
0107564	0	2022		脳卒中	1
0107564	0	2022		脳神内	1
0107564	0	2023	20	脳神外	1
0107602	0	2019		歯口外	1
0107622	0	2018		産婦人	1
0107622	0	2023	43	産婦人	1
0107622	0	2015		耳鼻科	1
0107622	0	2023	01	血液内	1
0107636	0	2017		歯口外	1
0107663	0	2019		リウ膠	1
0107663	0	2018		乳甲外	1
0107663	0	2013		呼吸内	1
0107663	0	2014		呼吸内	1
0107663	0	2019		呼吸内	1
0107663	0	2020		呼吸内	1
0107663	0	2016		小児外	1
0107663	0	2013		小児科	5
0107663	0	2014		小児科	3
0107663	0	2015		小児科	4
0107663	0	2017		小児科	4
0107663	0	2018		小児科	1
0107663	0	2019		小児科	5
0107663	0	2020		小児科	3
0107663	0	2021		小児科	1
0107663	0	2022		小児科	1
0107663	0	2023	10	小児科	1
0107663	0	2013		形成外	1
0107663	0	2020		循環内	3
0107663	0	2022		循環内	1
0107663	0	2023	07	循環内	2
0107663	0	2016		心療科	1
0107663	0	2017		放診断	1
0107663	0	2021		放診断	1
0107663	0	2015		救急科	1
